Massachusetts Institute of Technology (MIT)
Stanford University
Harvard University
California Institute of Technology (Caltech)
University of Oxford
University of Cambridge
ETH Zurich - Swiss Federal Institute of Technology
Imperial College London
University of Chicago
UCL (University College London)
National University of Singapore (NUS)
Nanyang Technological University
Princeton University
Cornell University
Yale University
Columbia University
Tsinghua University
University of Edinburgh 
University of Pennsylvania
University of Michigan
Johns Hopkins University
EPFL - Ecole Polytechnique Federale de Lausanne
University of Tokyo
Australian National University
University of Hong Kong
Duke University
University of California
University of Toronto
University of Manchester
Peking University
King's College London
University of California
McGill University
Northwestern University
Kyoto University 
Seoul National University
Hong Kong University of Science and Technology
London School of Economics and Political Science (LSE)
University of Melbourne
KAIST - Korea Advanced Institute of Science & Technology
University of California
University of Sydney
New York University (NYU)
Fudan University
University of New South Wales (UNSW Sydney)
Carnegie Mellon University
University of British Columbia
University of Queensland
Chinese University of Hong Kong (CUHK)
Universite PSL
University of Bristol
Delft University of Technology
University of Wisconsin-Madison
University of Warwick
City University of Hong Kong
Brown University
University of Amsterdam
Tokyo Institute of Technology
Monash University
Shanghai Jiao Tong University
Technical University of Munich
Ludwig-Maximilians-Universität München
University of Texas at Austin
Ruprecht-Karls-Universitat Heidelberg
Ecole Polytechnique
University of Washington
Osaka University 
Zhejiang University
Georgia Institute of Technology
University of Glasgow
University of Illinois at Urbana-Champaign
National Taiwan University (NTU)
Universidad de Buenos Aires (UBA)
Durham University
Sorbonne University
University of Sheffield
Tohoku Univeristy
University of Zurich
University of Birmingham
University of Copenhagen
KU Leuven
University of Nottingham
Pohang University of Science and Technology (POSTECH)
University of North Carolina
University of Auckland
Korea University
Rice University
Universiti Malaya (UM)
Ohio State University
Lomonosov Moscow State University
University of Western Australia
Lund University
Boston University
University of Leeds
Pennsylvania State University
University of Southampton
University of St Andrews
University of Science and Technology of China
Eindhoven University of Technology
Purdue University
Sungkyunkwan University (SKKU)
University of California
Washington University in St Louis
