"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","Age","MotherLanguage","Institution","Institution[other]","AreaStudy","AreaStudy[other]","Level","WhatisOA[SQ001]","WhatisOA[SQ002]","WhatisOA[SQ003]","WhatisOA[SQ004]","WhatisOA[SQ005]","HeardAboutIt","HeardAboutIt[comment]","Importance","Legal","Paywall","SciHub","Unpaywall","Final","interviewtime","groupTime1","AgeTime","MotherLanguageTime","InstitutionTime","AreaStudyTime","LevelTime","WhatisOATime","groupTime2","HeardAboutItTime","ImportanceTime","LegalTime","PaywallTime","SciHubTime","UnpaywallTime","FinalTime"
"13","2019-05-21 13:06:27","2","en","769021756","2019-05-21 13:01:51","2019-05-21 13:06:27","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Bachelor","No","No","No","Yes","No","Yes","i tought it was also making databases free, sorry","Quite","Legal","No","Rarely","Always","Open Access","276.49","67.11","","","","","","","209.38","","","","","","",""
"14","2019-05-21 13:23:15","2","en","1058318394","2019-05-21 13:20:02","2019-05-21 13:23:15","35 - 39","Portuguese","","","Science, Technology, Engineering, or Mathematics","","Master","Yes","No","Yes","Yes","No","Yes","","Very","Legal","Yes","Never heard of it","Never heard of it","Open Access","194.05","79.47","","","","","","","114.58","","","","","","",""
"15","2019-05-21 13:36:21","2","en","1192682218","2019-05-21 13:34:48","2019-05-21 13:36:20","30 - 34","Portuguese","","","Science, Technology, Engineering, or Mathematics","","Postdoc","Yes","No","No","No","No","Yes","","Very","Legal","Yes","Very often","Often","All Rights Reserved","93.1","46.1","","","","","","","47","","","","","","",""
"16","2019-05-21 13:39:57","2","en","1429452890","2019-05-21 13:37:07","2019-05-21 13:39:57","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Master","Yes","No","No","No","No","Yes","","Very","Legal","Yes","Very often","Never heard of it","Open Access","171.04","53.7","","","","","","","117.34","","","","","","",""
"17","2019-05-21 13:40:23","2","en","1069510135","2019-05-21 13:39:04","2019-05-21 13:40:22","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Undergraduate","No","No","No","Yes","No","No","","Extremely","Legal","Yes","Never heard of it","Never heard of it","Open Access","79.79","38.41","","","","","","","41.38","","","","","","",""
"18","","1","en","1434300727","2019-05-21 13:45:04","2019-05-21 13:45:38","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Undergraduate","No","No","No","No","Yes","","","","","","","","","34.88","34.88","","","","","","","","","","","","","",""
"19","2019-05-21 13:55:00","2","en","1783306746","2019-05-21 13:53:10","2019-05-21 13:55:00","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Bachelor","Yes","No","No","No","No","Yes","","Extremely","Legal","","Rarely","Rarely","Open Access","109.41","41.22","","","","","","","68.19","","","","","","",""
"20","2019-05-21 14:13:44","2","en","2136086118","2019-05-21 14:11:28","2019-05-21 14:13:43","35 - 39","Portuguese","","","Humanities, Arts and Social Sciences","","Master","Yes","No","No","No","No","No","","Very","Legal","Yes","Never heard of it","Always","Doesn't know","135.99","41","","","","","","","94.99","","","","","","",""
"21","","","en","756178954","2019-05-21 14:15:39","2019-05-21 14:15:39","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","0","","","","","","","","","","","","","","",""
"22","2019-05-21 14:18:06","2","en","1568896136","2019-05-21 14:16:08","2019-05-21 14:18:06","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Bachelor","Yes","No","No","No","No","Yes","","Very","Legal","Yes","Never heard of it","Never heard of it","Doesn't know","118.93","30.03","","","","","","","88.9","","","","","","",""
"23","","","en","892673154","2019-05-21 14:23:14","2019-05-21 14:23:14","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","0","","","","","","","","","","","","","","",""
"24","2019-05-21 14:32:10","2","en","1163654443","2019-05-21 14:29:32","2019-05-21 14:32:10","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Undergraduate","No","No","No","Yes","No","Yes","","Extremely","Legal","","Never heard of it","Never heard of it","Open Access","158.93","75.43","","","","","","","83.5","","","","","","",""
"25","","1","en","56958046","2019-05-21 14:29:33","2019-05-21 14:30:49","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Undergraduate","Yes","Yes","No","No","No","","","","","","","","","75.25","75.25","","","","","","","","","","","","","",""
"26","2019-05-21 14:37:12","2","en","855374615","2019-05-21 14:33:38","2019-05-21 14:37:12","> 65","Portuguese","","","Science, Technology, Engineering, or Mathematics","","PhD","Yes","No","Yes","Yes","No","Yes","You must fight to more open acesse","Quite","","Yes","Never heard of it","Never heard of it","Open Access","214.78","86.39","","","","","","","128.39","","","","","","",""
"27","","","en","373083482","2019-05-21 14:42:07","2019-05-21 14:42:07","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","0","","","","","","","","","","","","","","",""
"28","2019-05-21 14:45:46","2","en","770008314","2019-05-21 14:43:57","2019-05-21 14:45:46","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Undergraduate","No","No","No","Yes","No","No","","Extremely","","No","Rarely","Never heard of it","Open Access","108.2","40.11","","","","","","","68.09","","","","","","",""
"29","2019-05-21 15:05:14","2","en","823672730","2019-05-21 15:01:06","2019-05-21 15:05:14","35 - 39","","","","Humanities, Arts and Social Sciences","","Master","Yes","No","Yes","Yes","No","Yes","","Very","Legal","Yes","Rarely","Never heard of it","Open Access","249.64","127.75","","","","","","","121.89","","","","","","",""
"30","2019-05-21 15:08:06","2","en","873938940","2019-05-21 15:06:01","2019-05-21 15:08:06","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Bachelor","Yes","Yes","Yes","Yes","No","No","","Quite","Legal","Yes","Rarely","Often","Open Access","126.27","63.43","","","","","","","62.84","","","","","","",""
"31","2019-05-21 15:07:52","2","en","93600332","2019-05-21 15:06:40","2019-05-21 15:07:52","18 - 24","","","","Humanities, Arts and Social Sciences","","Undergraduate","Yes","No","No","Yes","No","Yes","","Extremely","Legal","Yes","Never heard of it","Never heard of it","Open Access","73.48","28.81","","","","","","","44.67","","","","","","",""
"32","","","en","2010468632","2019-05-21 15:20:42","2019-05-21 15:20:42","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","0","","","","","","","","","","","","","","",""
"33","2019-05-21 15:44:49","2","en","493874345","2019-05-21 15:43:23","2019-05-21 15:44:49","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Undergraduate","No","No","No","No","Yes","No","","Very","Illegal","Yes","Never heard of it","Never heard of it","Doesn't know","86.78","32.56","","","","","","","54.22","","","","","","",""
"34","2019-05-21 15:52:04","2","en","599385832","2019-05-21 15:50:07","2019-05-21 15:52:04","30 - 34","Portuguese","","","Humanities, Arts and Social Sciences","","Master","No","No","No","No","Yes","No","","Extremely","","Yes","Often","Never heard of it","Open Access","117.16","52.22","","","","","","","64.94","","","","","","",""
